Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
メッセージ一覧取得,300,261,227,339,436,694,164,1085,0.000%,1.25331,38.44,0.27
ForEach用のユーザーID変数作成,300,0,1,2,2,5,0,17,0.000%,1.25903,0.00,0.00
ユーザー取得,1500,4,4,7,9,30,2,85,0.000%,6.29511,1.31,1.38
ForEach用のスタンプID変数作成,300,0,1,2,2,5,0,8,0.000%,1.25944,0.00,0.00
スタンプ情報取得,1500,15,10,29,40,67,4,219,0.000%,6.29575,48.22,1.37
合計,3900,28,6,39,213,323,0,1085,0.000%,16.28760,87.71,3.01
