Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
サマリ版メッセージ一覧取得,100,321,211,710,775,1091,186,1784,0.000%,3.09924,99.69,0.69
合計,100,321,211,710,775,1091,186,1784,0.000%,3.09924,99.69,0.69
