Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
サマリ版メッセージ一覧取得,100,1016,955,1186,1364,1732,849,2334,0.000%,.98314,611.61,0.21
合計,100,1016,955,1186,1364,1732,849,2334,0.000%,.98314,611.61,0.21
